service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
01-100,0,0,0,0,0,0,1,20250408,20280407
01-160,0,0,0,0,0,1,0,20250408,20280407
01-170,1,1,1,1,1,0,0,20250408,20280407
06-100,0,0,0,0,0,0,1,20250408,20280407
06-160,0,0,0,0,0,1,0,20250408,20280407
06-170,1,1,1,1,1,0,0,20250408,20280407
09-100,0,0,0,0,0,0,1,20250408,20280407
09-160,0,0,0,0,0,1,0,20250408,20280407
09-170,1,1,1,1,1,0,0,20250408,20280407
13-100,0,0,0,0,0,0,1,20250408,20280407
13-160,0,0,0,0,0,1,0,20250408,20280407
13-170,1,1,1,1,1,0,0,20250408,20280407
21-100,0,0,0,0,0,0,1,20250408,20280407
21-160,0,0,0,0,0,1,0,20250408,20280407
21-170,1,1,1,1,1,0,0,20250408,20280407
25-100,0,0,0,0,0,0,1,20250408,20280407
25-160,0,0,0,0,0,1,0,20250408,20280407
25-170,1,1,1,1,1,0,0,20250408,20280407
29-100,0,0,0,0,0,0,1,20250408,20280407
29-160,0,0,0,0,0,1,0,20250408,20280407
29-170,1,1,1,1,1,0,0,20250408,20280407
33-100,0,0,0,0,0,0,1,20250408,20280407
33-160,0,0,0,0,0,1,0,20250408,20280407
33-170,1,1,1,1,1,0,0,20250408,20280407
37-100,0,0,0,0,0,0,1,20250408,20280407
37-160,0,0,0,0,0,1,0,20250408,20280407
37-170,1,1,1,1,1,0,0,20250408,20280407
41-100,0,0,0,0,0,0,1,20250408,20280407
41-160,0,0,0,0,0,1,0,20250408,20280407
41-170,1,1,1,1,1,0,0,20250408,20280407
45-100,0,0,0,0,0,0,1,20250408,20280407
45-160,0,0,0,0,0,1,0,20250408,20280407
45-170,1,1,1,1,1,0,0,20250408,20280407
49-100,0,0,0,0,0,0,1,20250408,20280407
49-160,0,0,0,0,0,1,0,20250408,20280407
49-170,1,1,1,1,1,0,0,20250408,20280407
53-100,0,0,0,0,0,0,1,20250408,20280407
53-160,0,0,0,0,0,1,0,20250408,20280407
53-170,1,1,1,1,1,0,0,20250408,20280407
57-100,0,0,0,0,0,0,1,20250408,20280407
57-160,0,0,0,0,0,1,0,20250408,20280407
57-170,1,1,1,1,1,0,0,20250408,20280407
61-100,0,0,0,0,0,0,1,20250408,20280407
61-160,0,0,0,0,0,1,0,20250408,20280407
61-170,1,1,1,1,1,0,0,20250408,20280407
65-100,0,0,0,0,0,0,1,20250408,20280407
65-160,0,0,0,0,0,1,0,20250408,20280407
65-170,1,1,1,1,1,0,0,20250408,20280407
69-100,0,0,0,0,0,0,1,20250408,20280407
69-160,0,0,0,0,0,1,0,20250408,20280407
69-170,1,1,1,1,1,0,0,20250408,20280407
77-100,0,0,0,0,0,0,1,20250408,20280407
77-160,0,0,0,0,0,1,0,20250408,20280407
77-170,1,1,1,1,1,0,0,20250408,20280407
81-100,0,0,0,0,0,0,1,20250408,20280407
81-160,0,0,0,0,0,1,0,20250408,20280407
81-170,1,1,1,1,1,0,0,20250408,20280407
85-100,0,0,0,0,0,0,1,20250408,20280407
85-160,0,0,0,0,0,1,0,20250408,20280407
85-170,1,1,1,1,1,0,0,20250408,20280407
